id,pred
36,0.8
2157,1.0
9385,0.9
14434,0.8
9462,0.8
5773,1.0
11975,1.1
10047,1.0
9595,0.8
12085,0.9
10423,0.8
5353,0.7
1967,0.6
7192,0.9
13483,0.6
8158,1.2
1482,0.5
5833,1.0
5276,0.7
12541,1.0
14694,0.8
11505,0.7
3948,0.4
12175,0.8
108,1.3
2520,1.2
11334,0.9
9535,0.8
9788,0.6
3217,0.9
9102,1.0
8059,0.9
2340,0.8
5727,1.1
13074,1.1
13058,0.8
12524,0.7
13919,0.6
1135,0.4
2266,0.7
13837,0.7
312,1.0
5129,0.9
333,0.6
9710,0.7
4895,1.0
12948,0.7
9748,0.9
10713,1.3
11130,0.8
7685,0.9
14382,1.1
1622,1.5
9747,0.5
6176,1.2
8001,0.9
3843,0.8
5369,0.7
4013,0.9
7189,0.8
6627,0.9
1531,1.4
7872,0.9
7822,0.9
7939,0.7
11694,0.9
12404,0.7
11477,0.6
10036,0.8
8673,0.8
13663,0.7
158,0.9
12270,1.0
4775,0.8
10732,0.7
12761,1.0
11443,0.9
14024,0.7
1456,0.6
15040,0.7
1777,0.8
5176,0.8
10217,0.6
14211,0.8
11805,1.3
1332,0.9
2539,0.7
12008,0.5
219,1.0
3415,0.8
9014,0.9
2606,0.4
3913,1.0
1811,1.0
500,0.7
14528,0.8
3045,0.6
4740,0.9
13532,1.3
5973,1.2
1524,0.6
6710,0.6
10824,0.7
2242,0.7
13571,0.8
14078,0.8
14089,0.7
4511,0.8
14168,0.9
9406,0.6
513,0.7
3346,1.1
8857,0.7
2470,1.0
3497,0.8
13452,0.6
5450,0.9
5340,0.8
10909,1.0
12419,0.9
1393,0.9
14390,0.8
2721,0.7
2093,1.0
8024,0.8
8759,0.9
6275,0.8
6465,0.6
4041,1.2
10700,1.0
11312,0.8
5533,0.9
4905,1.0
3094,0.8
8732,0.7
13789,0.7
4064,1.1
7358,0.9
8580,1.1
926,1.0
13516,0.8
11615,1.0
1630,0.8
6996,0.7
3308,0.9
6713,0.8
9983,0.5
11869,0.7
8366,1.1
13751,1.0
1832,1.0
14756,0.7
10385,1.0
12411,1.2
8478,0.8
6267,0.9
11803,0.8
3744,0.9
10541,1.0
5642,0.9
12459,1.2
2660,0.7
8975,0.9
193,0.7
11779,1.1
5337,0.4
12817,0.8
6310,0.9
10836,0.8
9078,1.1
6272,0.8
14614,0.9
11290,1.0
9887,0.8
8737,0.6
12187,1.0
11445,1.2
4131,1.0
4753,0.8
