id,pred
36,0.8
2157,0.9
9385,1.0
14434,1.1
9462,0.9
5773,0.8
11975,0.9
10047,1.0
9595,0.8
12085,0.9
10423,0.8
5353,0.8
1967,0.7
7192,0.8
13483,1.0
8158,0.9
1482,0.7
5833,1.0
5276,0.8
12541,0.9
14694,0.9
11505,0.9
3948,0.7
12175,0.9
108,1.3
2520,1.0
11334,0.8
9535,0.8
9788,0.6
3217,0.7
9102,0.7
8059,0.8
2340,0.8
5727,1.0
13074,1.2
13058,1.1
12524,0.9
13919,0.8
1135,0.7
2266,0.8
13837,0.7
312,0.9
5129,0.9
333,0.9
9710,0.8
4895,1.1
12948,0.8
9748,0.9
10713,0.9
11130,0.8
7685,1.0
14382,0.8
1622,1.3
9747,0.8
6176,1.0
8001,0.8
3843,0.8
5369,0.8
4013,1.0
7189,0.8
6627,0.9
1531,0.9
7872,0.9
7822,0.8
7939,0.8
11694,0.8
12404,0.8
11477,0.8
10036,0.9
8673,1.0
13663,0.9
158,0.8
12270,0.8
4775,0.8
10732,0.9
12761,0.8
11443,0.8
14024,1.0
1456,0.7
15040,0.9
1777,0.8
5176,1.0
10217,0.8
14211,0.9
11805,1.0
1332,0.8
2539,1.0
12008,1.0
219,0.8
3415,0.9
9014,0.9
2606,0.8
3913,1.2
1811,0.8
500,0.8
14528,1.0
3045,0.7
4740,0.9
13532,1.3
5973,1.0
1524,0.8
6710,0.9
10824,0.7
2242,0.8
13571,0.8
14078,0.9
14089,1.0
4511,0.8
14168,0.7
9406,0.9
513,1.2
3346,0.9
8857,0.7
2470,1.0
3497,0.8
13452,0.9
5450,0.7
5340,0.8
10909,1.0
12419,0.7
1393,1.2
14390,0.7
2721,0.7
2093,1.0
8024,1.1
8759,1.0
6275,0.8
6465,0.9
4041,0.9
10700,1.0
11312,1.0
5533,0.8
4905,0.9
3094,0.8
8732,0.9
13789,0.7
4064,0.8
7358,0.8
8580,1.3
926,1.0
13516,0.8
11615,0.8
1630,0.9
6996,1.0
3308,1.0
6713,1.0
9983,0.8
11869,0.8
8366,0.9
13751,1.1
1832,0.9
14756,0.9
10385,0.9
12411,1.1
8478,0.8
6267,0.8
11803,0.8
3744,0.9
10541,0.9
5642,0.8
12459,1.0
2660,0.9
8975,0.9
193,0.7
11779,0.8
5337,0.6
12817,0.7
6310,0.9
10836,0.8
9078,0.9
6272,0.8
14614,1.0
11290,0.9
9887,0.8
8737,0.8
12187,1.0
11445,1.1
4131,1.1
4753,0.9
4485,0.8
7134,1.2
7865,0.9
10276,0.9
8160,0.9
466,0.9
10688,0.9
14681,0.9
14860,0.9
392,0.7
7028,1.0
13586,0.8
10890,0.8
3362,0.8
14593,1.0
3981,0.9
2860,0.8
11826,1.0
5633,1.0
5202,0.9
7501,0.8
3597,0.8
12210,0.9
2685,0.6
881,0.8
11122,0.7
490,0.8
2929,0.8
14696,0.8
11871,0.8
14934,0.9
10955,0.9
14962,0.9
10083,0.9
5673,0.8
83,0.8
7556,0.5
13273,0.8
10149,0.9
11095,0.9
1580,1.2
5083,1.0
6351,0.9
3331,0.8
12975,1.0
6704,1.0
1113,0.7
8619,0.9
11920,1.1
10263,0.9
13812,0.8
6065,1.0
11247,0.8
8377,1.0
2074,0.7
14723,0.9
7992,0.9
8808,1.1
2962,0.8
1657,0.9
13560,0.8
3021,1.2
9941,0.9
10034,1.0
9457,1.0
14097,1.0
13754,0.9
13772,0.9
4262,0.8
5189,0.8
5570,1.0
3436,1.0
928,0.8
1405,0.8
13207,0.8
15083,0.7
13003,1.0
4221,1.0
1499,0.8
8596,1.1
13164,0.9
1339,1.0
3959,0.7
2681,0.8
13815,0.8
5676,1.0
3574,1.1
6393,0.9
10186,0.8
14989,0.8
3782,0.9
6459,0.7
9152,0.9
11400,0.9
2131,0.8
14297,0.7
406,1.1
10708,1.1
13573,1.0
4878,1.0
6334,0.8
3429,1.1
260,0.6
13596,0.8
5822,0.8
3945,0.8
939,1.2
10703,0.8
7089,0.9
3477,0.9
10673,1.0
11878,0.9
12956,1.0
6104,0.8
11058,1.0
2223,0.9
3330,0.8
13253,1.0
669,0.8
6371,0.9
14171,0.8
14413,0.9
13262,1.0
2615,0.8
995,0.8
10850,1.0
2851,0.8
1629,0.8
7835,0.9
2145,0.9
986,1.0
7306,0.8
11757,0.9
9695,1.1
5442,0.8
2944,0.8
2100,0.8
13248,1.0
12555,1.0
10544,1.1
1577,1.0
12799,1.1
11618,1.2
14678,1.1
3607,0.8
14227,1.0
14038,1.0
6453,0.8
9587,0.8
6649,0.7
5279,0.9
2998,0.9
13283,1.0
13485,0.8
9960,0.8
